MLS Number,Street Address,zip_code,county,age,Sq Ft Total,Lot size,Year Built
EB40953545,4236 Terrace Street ,94611,Alameda,110,1501,3960,1911
BA321063738,67 Molino ,94941,Marin,113,4309,37300,1908
ME221066962,807 Florin RD ,95831,Sacramento,39,1419,4674,1982
ME221075700,1920 Canvasback CT ,95948,Butte,0,1361,5663,2021
ME602147,7871 Garden HWY ,95991,Sutter,109,3080,60548,1912
ME221064894,3880 Arcano AVE ,95991,Sutter,59,884,6531,1962
CRPW21097840,11947 Beatrice ST ,90230,Los Angeles,74,1136,5747,1947
CRPW21128984,1024 W 187th PL ,90248,Los Angeles,66,1497,5412,1955
CRPTP2104156,992 Helix AVE ,91911,San Diego,16,1050,7100,2005
CRSW21137300,26665 Yale ST ,92544,Riverside,54,1156,7405,1967
CRPW21129847,336 Hudson AVE ,92870,Orange,53,2760,7298,1968
CRV0-219001386,358 S Santa Cruz ST ,93001,Ventura,76,1664,6000,1945
ML81848068,2088 Constantine CT ,93635,Merced,18,2549,7087,2003
BE40957176,2079 23Rd Ave ,94116,San Francisco,78,1200,3000,1943
CC40954377,8258 Brookhaven Cir ,94505,Contra Costa,7,2342,5300,2014
EB40953604,151 Merano ,94526,Contra Costa,26,3133,6660,1995
CC40953858,212 El Sobrante Dr ,94526,Contra Costa,73,1939,15120,1948
ME202100571,27854 mandarin ,94544,Alameda,67,1000,5009,1954
CC40953970,1027 Winsor Ave ,94610,Alameda,81,1821,5810,1940
BA321059010,433 Median WAY ,94941,Marin,35,3273,12001,1986
ME221069198,1300 Champion Oaks ,95661,Placer,59,1135,6512,1962
ME221066455,4231 Crazy Horse RD ,95682,El Dorado,20,2618,7841,2001
BA321053031,113 Lakehurst DR ,95687,Solano,47,1905,5663,1974
ME221069494,2804 Executive CT ,95765,Placer,21,1818,8965,2000
ME221067837,7164 Stanford Oak DR ,95842,Sacramento,42,1054,8368,1979
ME202002150,937 Chestnut ST ,95928,Butte,118,1495,5663,1903
CNSR19086028,4146 Allott AVE ,91423,Los Angeles,5,5093,7974,2016
CRJT21126856,57606 Bandera RD ,92284,San Bernardino,15,1900,22716,2006
CRPW21125717,11 Branding Iron ,92602,Orange,5,4319,5632,2016
CROC21114086,24 Oak View DR ,92656,Orange,21,3690,6690,2000
CROC21117747,33 Tradition LN ,92688,Orange,23,1835,2868,1998
ML81847998,2323 Holland ST ,94403,San Mateo,65,1300,6612,1956
ML81848264,41530 Devon CT ,94539,Alameda,63,3118,16554,1958
ML81848702,43401 Jerome AVE ,94539,Alameda,68,2000,5353,1953
CC40955883,3841 La Colina Rd ,94803,Contra Costa,67,1082,8375,1954
CC40954014,5028 Esmond Ave ,94805,Contra Costa,81,1153,4800,1940
ML81848639,410 Birkhaven PL ,95138,Santa Clara,24,1457,2473,1997
ME221077092,1608 Santa Rosa ,95616,Yolo,21,2748,8931,2000
ME221072745,6564 Alder Park CIR ,95678,Placer,18,2015,7396,2003
ME201901205,14049 Drexel DR ,95954,Butte,41,1560,10890,1980
CRP1-5036,536 Milton DR ,91775,Los Angeles,83,1346,6453,1938
CRIV21128240,12645 Garden Ave AVE ,92313,San Bernardino,50,1242,8515,1971
CRSW21136929,5574 Lincoln AVE ,92544,Riverside,21,2295,7405,2000
CRSW21128277,39855 Osprey RD ,92562,Riverside,33,1900,5227,1988
CRSW21127962,26636 Jaelene ST ,92586,Riverside,44,1705,7841,1977
CRPT21137353,66 Clouds ,92603,Orange,17,1216,1400,2004
CRNP21148963,460 Mendoza Terrace ,92625,Orange,0,5000,7280,2021
CRIG21134413,14274 Florence ST ,92880,Riverside,10,2555,7405,2011
TM21-749948,1084 Sycamore DR ,93065,Ventura,57,1580,6689,1964
SF421563340,619 Geneva AVE ,94112,San Francisco,94,1149,2200,1927
SF421567412,1307 38th AVE ,94122,San Francisco,81,1534,1750,1940
EB40954111,2068 Roper Cir ,94513,Contra Costa,17,3593,8250,2004
CC40953909,40720 Robin St ,94538,Alameda,57,1452,7200,1964
EB40953764,2 Calvin Drive ,94563,Contra Costa,48,2068,20038,1973
ML81851046,1925 St Andrews ,95020,Santa Clara,22,2812,8461,1999
ML81847990,1576 Inverness CIR ,95124,Santa Clara,57,1931,6873,1964
BA321052983,596 Decanter CIR ,95492,Sonoma,15,1834,6264,2006
ME221065632,3627 Squaw RD ,95691,Yolo,16,3232,6534,2005
ME221065346,1809 Homestead WAY ,95776,Yolo,18,1949,5663,2003
ME221065686,6938 14th AVE ,95820,Sacramento,62,1409,7405,1959
ME221065370,5614 7th AVE ,95820,Sacramento,73,900,5227,1948
ME201902564,2540 V6 RD ,95966,Butte,42,1727,217800,1979
TM21-755282,2114 Balsam AVE ,90025,Los Angeles,94,3282,5463,1927
TM21-746196,1743 Alvira ST ,90035,Los Angeles,86,1694,8059,1935
CROC21154159,17109 Maurice AVE ,90703,Los Angeles,51,1491,5246,1970
CRP1-5091,401 S Berkeley AVE ,91107,Los Angeles,95,2338,8336,1926
CRNDP2106475,445 Delage Dr ,92024,San Diego,44,1517,8346,1977
CROC21111488,8462 Crane CIR ,92646,Orange,7,3181,11440,2014
CROC21126484,2532 University DR ,92660,Orange,59,1287,1612,1962
BA321054424,1500 Croton CT ,94534,Solano,36,1809,11326,1985
BE40956428,37019 Maple St ,94536,Alameda,73,1033,6760,1948
CC40955946,1160 Summer Way ,94565,Contra Costa,28,2025,5500,1993
BE40954761,1396 Via Lucas ,94580,Alameda,70,1050,6350,1951
BE40959124,4234 Diavila Ave ,94588,Alameda,28,1777,3523,1993
ML81849411,18569 Eucalyptus DR ,95030,Santa Clara,68,2751,48966,1953
BA321058188,216 Markham AVE ,95688,Solano,60,1228,5663,1961
ME221067677,623 Dudley WAY ,95818,Sacramento,73,1354,6534,1948
ME221065697,4914 Spica PKWY ,95823,Sacramento,61,1456,8712,1960
ME221066993,18905 W Ridge DR ,95946,Nevada,26,2065,131551,1995
CRDW21080351,11727 Dalwood AVE ,90650,Los Angeles,68,1222,4901.11,1953
CRP0-819003610,2674 Lincoln AVE ,91001,Los Angeles,59,1589,7540,1962
CNSR21130836,24026 Chestnut WAY ,91302,Los Angeles,34,4448,30050,1987
CNSR21110382,23209 Sorrel CT ,91354,Los Angeles,24,2784,5649,1997
CRCV21123495,741 E Level ST ,91723,Los Angeles,60,2101,9844,1961
CROC21129660,5152 Bella Collina ST ,92056,San Diego,28,2312,11225,1993
CRCV21124851,698 Weather WAY ,92220,Riverside,18,1289,4792,2003
CRPW21131533,22051 Robin ,92630,Orange,44,2444,5000,1977
CRNP21136552,427 Santa Ana AVE ,92663,Orange,70,2534,7200,1951
CRPW21133203,10764 Mueller CT ,92782,Orange,27,1929,4500,1994
CRV1-6566,5102 Mesquite ST ,93012,Ventura,44,1715,7840,1977
CRSC21121522,1350 Paso Robles AVE ,93402,San Luis Obispo,46,1008,4875,1975
BE40956998,220 Chantecler Dr ,94539,Alameda,29,3729,16077,1992
ML81851567,3043 Tulare DR ,95132,Santa Clara,48,1598,6187,1973
ME221060575,709 Sands WAY ,95630,Sacramento,23,2523,6734,1998
ME221068632,11044 Brattleboro CIR ,95655,Sacramento,19,4062,9862,2002
BA321065483,543 Mathews DR ,95687,Solano,53,1247,6534,1968
ME221075153,9668 Sea Cliff WAY ,95758,Sacramento,16,2617,7092,2005
ME221062962,2264 Marconi AVE ,95821,Sacramento,81,845,19602,1940
ME221072303,5430 Gilgunn WAY ,95822,Sacramento,70,1892,34848,1951
ME201903605,758 Bird ST ,95965,Butte,96,1683,6534,1925
ME202002884,131 Worthy AVE ,95965,Butte,67,1057,5663,1954
ME201900034,51 Inglewood DR ,95966,Butte,63,1650,54886,1958
TM21-749190,6272 Tapia DR ,90265,Los Angeles,57,1769,11903,1964
CRSB21125592,1862 Homeworth DR ,90275,Los Angeles,71,1048,8915,1950
CRP0-820002022,2521 Santa Anita AVE ,91001,Los Angeles,90,5610,37748,1931
CRCV21131196,3213 Hempstead AVE ,91006,Los Angeles,72,1743,9029,1949
CRCV21128076,12568 Nasturtium DR ,91739,San Bernardino,36,1145,5000,1985
CRNP21120019,2 S Portola ,92651,Orange,81,2527,4104,1940
CROC21118516,27462 Paseo Arco Clave ,92675,Orange,14,5800,10041,2007
CROC21117124,62 Marisol ST ,92694,Orange,4,1944,1994,2017
CRV1-6389,111 W Loop DR ,93010,Ventura,62,1579,20380,1959
CRSC21052699,385 Lancaster ST ,93428,San Luis Obispo,31,2465,3500,1990
CRPI21131464,1935 La Jolla CT ,93433,San Luis Obispo,35,957,3720,1986
BE40954116,5170 Discovery Pt ,94505,Contra Costa,31,3247,8400,1990
CC40955000,827 Mariposa ,94549,Contra Costa,71,1438,9964,1950
CC40955007,29 Irving Ln ,94563,Contra Costa,73,2687,16000,1948
ML81848149,108 Los Patios ,95032,Santa Clara,49,2541,18593,1972
BA321053762,18109 California CT ,95476,Sonoma,33,1890,4086,1988
BA321054794,313 Decanter CIR ,95492,Sonoma,17,1834,5502,2004
ME201902164,2586 Tinsel Trail ,95634,El Dorado,17,2607,256133,2004
ME221068011,1990 Laurelhurst LN ,95648,Placer,18,1728,7680,2003
ME221054555,4324 Sandhurst WAY ,95677,Placer,19,2346,9788,2002
BA321053994,220 Sage Sparrow CIR ,95687,Solano,16,2080,6500,2005
ME221064159,621 Del Oro ST ,95695,Yolo,35,1444,6151,1986
ME221070300,7059 Cope Ridge WAY ,95747,Placer,23,1817,6534,1998
ME221071920,17807 Foxtail DR ,95946,Nevada,42,1522,12632,1979
ME202100583,395 Hazel ST ,95948,Butte,109,2072,4356,1912
ME221066572,1952 Woodleaf DR ,95993,Sutter,36,1306,7841,1985
TM21-744398,2622 Rinconia DR ,90068,Los Angeles,60,2178,4672,1961
TM21-756310,1165 Somera RD ,90077,Los Angeles,57,3987,46204,1964
CNSR21136215,17823 Burton ST ,91335,Los Angeles,67,1212,6001,1954
CNSR21127330,17430 Horace ST ,91344,Los Angeles,94,2000,16719,1927
CRNDP2107817,2082 Avenue of the Trees ,92008,San Diego,46,1793,2735,1975
CRSW21121862,4686 Highway 76 ,92028,San Diego,17,3200,223027,2004
CRNDP2106962,6334 La Pintura ,92037,San Diego,63,2465,25600,1958
CRNDP2107183,4879 Castellano DR ,92057,San Diego,18,1605,10194,2003
CRSW21112928,32818 Kendal CT ,92584,Riverside,16,3031,10019,2005
CRIV21135841,27499 Jimson CIR ,92591,Riverside,32,1077,6098,1989
CRSC21134597,1488 Strawberry AVE ,93420,San Luis Obispo,19,1948,7200,2002
CRSC21125915,262 Esparto AVE ,93449,San Luis Obispo,69,1337,4080,1952
CRFR21133832,714 W Lamona AVE ,93728,Fresno,72,1777,8400,1949
SF421561299,1001 Everglades DR ,94044,San Mateo,54,2340,6200,1967
ML81849367,275 Laning ,94062,San Mateo,66,2460,43124,1955
BA321065258,6411 Hagen BLVD ,94530,Contra Costa,68,1328,5000,1953
BA321056641,4303 E 3rd AVE ,94558,Napa,58,2000,43560,1963
ML81849404,1253 Cobblestone DR ,95008,Santa Clara,25,2013,4572,1996
ME221068243,629 S Regent ST ,95204,San Joaquin,94,1248,5001,1927
ME202002380,4409 Crown Valley Way ,95356,Stanislaus,20,3454,5998,2001
ME202002625,5728 Arapaho WAY ,95451,Lake,41,1544,158994,1980
ME221068707,9532 Central AVE ,95630,Sacramento,37,1230,8882,1984
ME221065228,136 Ivy ST ,95678,Placer,4,1525,2810,2017
ME221063292,3266 Port Pacific LN ,95758,Sacramento,22,2381,9853,1999
ME221069804,5128 Diablo DR ,95842,Sacramento,59,1456,7841,1962
TM21-747102,3380 Descanso DR ,90026,Los Angeles,95,1648,2948,1926
CRCV21116653,711 Kirkwood LN ,90631,Orange,52,2371,6496,1969
CRNDP2107073,345 Oak Valley LN ,92027,San Diego,18,2847,12381,2003
CRPW21128662,11124 Sawtooth CT ,92301,San Bernardino,14,3352,7468,2007
CNSR21125505,10633 Candytuft ST ,93004,Ventura,17,2463,6159,2004
ML81848944,540 Stockton ST ,93907,Monterey,32,1180,3662,1989
ML81848236,628 Paco DR ,94024,Santa Clara,21,3462,13650,2000
SF421564232,4184 Cesar Chavez ST ,94131,San Francisco,64,2603,2848,1957
CC40954037,932 Suntan Ln ,94513,Contra Costa,18,2195,6834,2003
EB40955797,10315 Dante Ave ,94603,Alameda,81,1006,4200,1940
BA321067594,235 Poplar DR ,94904,Marin,73,2986,618116400,1948
ML81848554,19854 Graystone LN ,95120,Santa Clara,61,1850,42160,1960
ML81848640,5426 Cahalan AVE ,95123,Santa Clara,9,1895,4229,2012
ME221070018,8725 Armagh CT ,95624,Sacramento,41,2028,8002,1980
ME221065079,1134 Knopfler CIR ,95630,Sacramento,26,1782,4356,1995
ME221063224,4621 Waterstone DR ,95747,Placer,14,3213,20199,2007
ME221069652,5778 Beadnell WAY ,95835,Sacramento,17,1725,8146,2004
ME201803424,6 Ernie LN ,95916,Butte,35,1546,72745,1986
CRSN21078277,24 New Foster PL ,95928,Butte,22,2083,43996,1999
ME202000128,1805 Ohio ST ,95948,Butte,15,2538,6970,2006
ME202101046,2153 Jacob ST ,95948,Butte,7,1884,9148,2014
ME221066583,1613 N W biggs gridley RD ,95948,Butte,84,940,13068,1937
ME201902830,2425 Greentree CT ,95981,Yuba,14,1551,10019,2007
TM21-748782,1264 Lucerne BLVD ,90019,Los Angeles,105,1709,6142,1916
CNSR21134259,1900 Manhattan AVE ,90254,Los Angeles,70,2390,4141,1951
CRPW21139263,13415 High ST ,90602,Los Angeles,98,856,4841,1923
CNSR21125389,3544 Ganelon DR ,91302,Los Angeles,48,3191,11782,1973
CNSR21123981,5926 Babbitt AVE ,91316,Los Angeles,65,1780,6000,1956
CRV0-219000593,4841 Bruges AVE ,91364,Los Angeles,62,2300,11400,1959
CRPS21134679,876 Tehama DR ,92315,San Bernardino,58,1700,11735,1963
CRTR21138738,23599 Lake DR ,92325,San Bernardino,81,1219,4400,1940
CROC21122466,8525 Crystal AVE ,92504,Riverside,58,1328,6970,1963
CROC21142956,4062 Northpark CIR ,92604,Orange,49,1819,8100,1972
CRPW21130705,3452 Fuchsia ST ,92626,Orange,48,1775,6000,1973
CRNP21132394,423 Broadway ,92627,Orange,74,1668,7354,1947
CROC21125892,40 Las Castanetas ,92688,Orange,27,1670,4440,1994
CRRS21138954,6201 Huntley AVE ,92845,Orange,59,1430,6000,1962
CRWS21126961,6847 Andaravida RD ,92880,Riverside,14,3607,7405,2007
ML81849123,1626 Tyler Park WAY ,94040,Santa Clara,66,1196,6350,1955
CC40954631,123 Gatetree Court ,94526,Contra Costa,36,2891,10028,1985
BA321053116,3449 Crestview Way ,94558,Napa,43,2469,17598,1978
ML81847995,1342 Prevost ST ,95125,Santa Clara,74,1072,5883,1947
ME221068710,1526 Claremont DR ,95336,San Joaquin,39,1266,6186,1982
ME221069190,179 Bear Hollow DR ,95363,Stanislaus,27,1056,5001,1994
ME221065244,6619 Bush WAY ,95608,Sacramento,59,2448,10799,1962
ME221052990,9452 Fort Worth WAY ,95827,Sacramento,45,1456,5201,1976
ME221060663,4423 Ligurian Sea LN ,95834,Sacramento,3,2206,5815,2018
ME202003104,11334 Holiday DR ,95930,Butte,22,1480,16553,1999
ME201901215,3888 Cherokee RD ,95965,Butte,20,1560,485258,2001
CROR21056739,26 Westelle DR ,95966,Butte,56,1363,9148,1965
CRSB21152540,8021 Kittyhawk AVE ,90045,Los Angeles,74,4690,8562,1947
TM21-747956,2628 Angelo DR ,90077,Los Angeles,43,3679,498053,1978
CRP1-5182,4045 Hampstead RD ,91011,Los Angeles,72,2221,46609,1949
CROC21126800,12 Orchard ,92618,Orange,44,1133,2739,1977
CROC21132383,27705 Via Rodrigo ,92692,Orange,44,1472,3700,1977
CRSC21126098,10701 Galway Bay DR ,93311,Kern,29,1921,5991,1992
ML81848594,1140 Banyan WAY ,94044,San Mateo,59,1584,7080,1962
CC40954736,45 Trish Ct ,94506,Contra Costa,26,3532,21605,1995
BE40955806,14897 Lark St ,94578,Alameda,76,1494,7150,1945
EB40954850,6201 Valley View Rd ,94611,Alameda,84,1201,7400,1937
ML81848356,7785 Eigleberry ST ,95020,Santa Clara,99,1120,5628,1922
ME221065792,16338 Diablo CT ,95304,San Joaquin,35,2900,69696,1986
ME221071667,1121 Picard CT ,95380,Stanislaus,27,1347,6120,1994
ME221064999,2019 Lux CT ,95608,Sacramento,50,3326,15682,1971
ME221064665,412 Savannah DR ,95648,Placer,18,2281,10093,2003
ME221068784,11855 Appolon DR ,95742,Sacramento,16,1634,6839,2005
ME221073205,10236 JENNY LYNN WAY ,95757,Sacramento,17,2074,6547,2004
ME201903370,3324 Wedgewood LN ,95973,Butte,24,1652,6098,1997
CRPF21115248,6164 Garrison DR ,90042,Los Angeles,84,1093,5342,1937
TM21-752240,13066 Discovery CRK ,90094,Los Angeles,15,3766,59718,2006
CNSR21128802,10806 Sarah ST ,91602,Los Angeles,117,890,5050,1904
CRTR21136488,27 Mill Valley RD ,91766,Los Angeles,37,1558,6133,1984
CRNDP2107387,609 Highland St ,92027,San Diego,52,1424,7500,1969
CRSW21118777,42311 Circulo Cavinara ,92562,Riverside,23,2660,8276,1998
CRNDP2107042,23054 Giant Fir PL ,92587,Riverside,23,1755,7405,1998
CRSW21137456,33021 Paterno ST ,92592,Riverside,22,2146,5663,1999
CROC21131678,1525 Buena ,92672,Orange,67,6970,12632,1954
CROC21132881,2739 E Lakeside AVE ,92867,Orange,57,2790,8000,1964
CRSC21128836,1005 W Water ST ,93230,Kings,62,1050,6500,1959
CRRS21127411,513 Garfield AVE ,93268,Kern,81,1320,5107,1940
CRPI21125726,957 Savannah DR ,93433,San Luis Obispo,17,1823,6970,2004
BE40953723,1656 Colchester St ,94506,Contra Costa,15,3252,6803,2006
BA321067456,1019 Florida ST ,94590,Solano,106,1398,4874,1915
BA321045593,110 Ralston AVE ,94941,Marin,43,2215,31080,1978
ME221070385,416 Weider CT ,95630,Sacramento,22,1327,6630,1999
ME221077331,7243 Washburn WAY ,95660,Sacramento,54,1492,6098,1967
ME221062976,8953 Custer AVE ,95662,Sacramento,63,1296,10019,1958
CRSB21112937,712 Longfellow AVE ,90254,Los Angeles,49,1461,2518,1972
CRSB21122311,4116 W 173rd PL ,90504,Los Angeles,69,1600,5738,1952
CRPTP2104104,503 Lindbergh Way ,92154,San Diego,51,1510,10900,1970
CRIV21121754,36666 Sevilla WAY ,92223,Riverside,2,2106,9148,2019
CROC21104165,23851 Pinafore CIR ,92677,Orange,48,2846,7700,1973
CROC21132027,22 Winslow ST ,92694,Orange,21,3400,6530,2000
CRNP21139948,5507 E Vista Del Dia ,92807,Orange,44,1646,1466,1977
ML81852338,19398 Acclaim DR ,93908,Monterey,22,1831,4057,1999
SF421561368,53 Elsie ST ,94110,San Francisco,114,1385,1750,1907
BE40954135,51 Saint Luke Ct ,94526,Contra Costa,50,1942,9500,1971
ML81848267,1360 Cameo DR ,95008,Santa Clara,62,1540,8500,1959
ML81849598,1254 Shasta AVE ,95126,Santa Clara,98,1087,6500,1923
ME221068646,1215 Yankee Jim CT ,95614,El Dorado,49,1600,17860,1972
ME221062911,9125 Plaza Park Dr ,95624,Sacramento,53,1853,7797,1968
ME221068599,2315 Edwards ST ,95901,Yuba,48,1311,6926,1973
ME201903782,33 Lava Rock DR ,95928,Butte,3,2515,45302,2018
TM21-745644,6516 Colgate AVE ,90048,Los Angeles,94,1536,6049,1927
CRSB21132642,700 John ST ,90266,Los Angeles,59,4770,9982,1962
TM21-746884,714 Kensington RD ,90405,Los Angeles,97,2321,5985,1924
CNSR21130816,7139 E Carita ST ,90808,Los Angeles,68,2093,5930,1953
CRPW21123872,3006 Trudi LN ,91504,Los Angeles,63,1848,8481,1958
CNSR21125115,1872 Buffington ST ,91766,Los Angeles,73,1418,6079,1948
CROC21119880,5441 Redwood ST ,92105,San Diego,72,856,6500,1949
CRSW21128715,481 Avenida Calandria ,92545,Riverside,41,1007,3920,1980
BA321048859,2812 Marigold DR ,94533,Solano,48,1276,6534,1973
EB40954920,1257 Fetzer Ln ,94561,Contra Costa,23,1782,6000,1998
ML81848128,400 Creekside LN ,95037,Santa Clara,37,1473,2185,1984
ML81849349,1355 Scossa AVE ,95118,Santa Clara,53,1700,7403,1968
ME201903397,33 Highlands BLVD ,95966,Butte,60,1560,12197,1961
ME201903442,18130 Elm Way ,96061,Tehama,81,800,21344,1940
TM21-751084,1611 Arla WAY ,90041,Los Angeles,0,1705,1207,2021
CRIN21144279,6003 Mayflower AVE ,90270,Los Angeles,97,972,3740,1924
CRPW21135290,3102 Salmon DR ,90720,Orange,63,4932,7700,1958
CNSR21124577,17740 San Jose ST ,91344,Los Angeles,62,1704,9170,1959
CNSR21125901,427 S Griffith Park DR ,91506,Los Angeles,94,1439,6750,1927
CRTR21121167,2408 Manzanillo DR ,91748,Los Angeles,59,2138,10120,1962
CRWS21120588,180 Roca WAY ,91754,Los Angeles,67,1611,9802,1954
CRJT21126700,6245 Baileya AVE ,92277,San Bernardino,29,1182,14400,1992
CRPW21112465,15392 Andaman LN ,92649,Orange,59,1683,6000,1962
CRPW21123270,2745 Canyon View CIR ,92882,Riverside,22,3036,9865,1999
CNSR21134981,2497 Orangewood PL ,93065,Ventura,40,1470,4922,1981
ML81848610,35 Rockford AVE ,94015,San Mateo,61,2310,3300,1960
EB40955133,4514 Kimberley Cmn ,94550,Alameda,29,1890,3188,1992
ML81848246,16863 Los Banos ST ,94578,Alameda,72,1305,5029,1949
EB40954508,364 Coventry Rd ,94707,Alameda,81,1386,4280,1940
BA321055099,16 Woodside WAY ,94957,Marin,81,4575,36682,1940
ML81848294,2940 Mark AVE ,95051,Santa Clara,64,2398,9775,1957
ML81848996,694 Bold CT ,95111,Santa Clara,59,1431,10479,1962
ME221066149,664 Equador ,95616,Yolo,49,2236,8638,1972
ME221069135,4019 Gloster WAY ,95834,Sacramento,3,1614,2370,2018
ME201902041,14864 Glenwood DR ,95954,Butte,50,1152,10123,1971
ME201804212,3011 S 5th AVE ,95965,Butte,91,960,4356,1930
CROC21129504,10716 Bogardus AVE ,90603,Los Angeles,67,1302,7263,1954
TM21-737778,4032 Elsa ST ,90712,Los Angeles,70,1982,5367,1951
CNSR21137970,806 N Ontario ST ,91505,Los Angeles,82,1200,6755,1939
CRSW21124882,3028 Linda DR ,92056,San Diego,58,1336,7000,1963
CRIV21130843,25830 Baltrustrol DR ,92586,Riverside,55,1206,7405,1966
EB40953756,1204 Mission Dr ,94509,Contra Costa,53,1573,9100,1968
BE40954573,325 Cortona Way ,94513,Contra Costa,7,2254,3548,2014
CC40953485,9 Sorrento Ct ,94526,Contra Costa,57,2002,13000,1964
ML81848026,6362 Blackwood DR ,95014,Santa Clara,61,1260,6032,1960
ML81850353,835 English Walnut WAY ,95037,Santa Clara,27,2538,10272,1994
BA321061632,1056 Peggotty PL ,95401,Sonoma,43,1096,3498,1978
BA321032796,6100 Austin CRK ,95421,Sonoma,101,816,8002,1920
BA321054302,1315 Dartmouth CIR ,95620,Solano,5,1711,3598,2016
ME221066150,1209 Lasso Lake LN ,95648,Placer,17,2246,8337,2004
ME221065759,1233 Trehowell DR ,95678,Placer,21,2717,8952,2000
ME221078574,13691 Bates RD ,95685,Amador,56,3354,345866,1965
ME221069797,2940 Capetanios DR ,95762,El Dorado,15,6451,43560,2006
ME221064826,915 Farm House CT ,95765,Placer,14,3469,12036,2007
ME602198,9416 Goodspeed ST ,95938,Butte,45,1079,6098,1976
ME201903292,196 Riverview DR ,95966,Butte,63,1945,159865,1958
TM21-751086,1619 Arla WAY ,90041,Los Angeles,0,1705,1207,2021
CRPW21096639,3116 Stevely AVE ,90808,Los Angeles,67,2021,6135,1954
CNSR21122063,22420 Abordo DR ,91350,Los Angeles,49,1728,17574,1972
CRPW21137193,22801 Ostronic DR ,91367,Los Angeles,74,2000,7077,1947
CRCV21119413,700 E Bennett AVE ,91741,Los Angeles,69,2155,12430,1952
CREV21136216,5744 Via Dos Caminos ,92504,Riverside,55,1794,6534,1966
CRV0-218009673,413 Buena Vista DR ,93023,Ventura,62,1997,10594,1959
ML81849765,38 Winding WAY ,94070,San Mateo,3,2387,7100,2018
EB40955235,839 Fan Palm Ln ,94513,Contra Costa,7,1443,2886,2014
EB40955373,516 Montana St ,94513,Contra Costa,18,1683,5600,2003
BE40953454,4288 Churchill Dr ,94588,Alameda,51,2078,7165,1970
ME221073942,462 Anacapa DR ,95678,Placer,23,2530,6268,1998
ME221072725,1846 Sapphire WAY ,95762,El Dorado,31,2385,10019,1990
ME221067459,5800 San Anselmo LN ,95835,Sacramento,17,2291,8468,2004
CRSW21128005,4237 Sussex CIR ,90630,Orange,53,2794,8343,1968
CNSR21128467,28051 Devon LN ,91350,Los Angeles,34,1565,5972,1987
CRTR21143241,425 Verdugo AVE ,91741,Los Angeles,25,4356,87997,1996
CRP1-5193,9045 Acaso DR ,91780,Los Angeles,87,664,7071,1934
CRNDP2106695,1708 Calle Platico ,92056,San Diego,32,1234,4636,1989
CRNDP2106632,23566 Encina Corte ,92065,San Diego,22,2004,21780,1999
CRNDP2107827,6541 Seaman Street ,92120,San Diego,64,1846,7200,1957
CRCV21159169,2152 Wilderness RD ,92382,San Bernardino,57,1920,7130,1964
CRSW21105750,37900 Amberleaf CT ,92562,Riverside,20,1752,6534,2001
CRSW21126672,29407 Pineleaf ST ,92584,Riverside,14,2892,6970,2007
CRSW21122635,29076 Guava ST ,92584,Riverside,5,2688,9148,2016
CRLG21130576,45 Saint Michael ,92629,Orange,34,2300,3500,1987
CRV0-220000621,112 Wormwood ST ,93023,Ventura,43,1309,8112,1978
CRNS21129184,909 Tarragon CT ,93436,Santa Barbara,31,1740,6970,1990
CNSR21125571,37660 Barrinson ST ,93550,Los Angeles,33,1172,5751,1988
CNSR21128554,5123 Pacifica AVE ,93552,Los Angeles,33,1529,7214,1988
ML81853777,254 Taylor BLVD ,94030,San Mateo,81,1770,7376,1940
ML81850634,1686 30th AVE ,94122,San Francisco,83,1400,2063,1938
BA321051684,526 Sandy ,94510,Solano,43,1579,14375,1978
CC40956980,319 Calle La Mesa ,94556,Contra Costa,53,2667,17976,1968
BA321056750,510 Biscayne DR ,94901,Marin,29,8525,68389,1992
BA321047364,708 Paula LN ,94952,Sonoma,50,2521,12998,1971
ML81848135,3689 Kendra WAY ,95130,Santa Clara,56,1737,6000,1965
ME221068207,1334 W Orangeburg AVE ,95350,Stanislaus,67,1058,5759,1954
ME221065296,20144 Eastview DR ,95379,Tuolumne,45,1400,13068,1976
ME221036726,806 Comstock DR ,95630,Sacramento,69,1382,4500,1952
ME221067775,328 Grouse DR ,95632,Sacramento,32,1563,8006,1989
ME202002248,1444 High ST ,95965,Butte,101,1208,3485,1920
CRSN21131641,1456 Saratoga DR ,95973,Butte,20,1881,7841,2001
CRSB21128700,1152 Oakfair LN ,90710,Los Angeles,51,2082,5013,1970
CNSR21125445,22318 Melodi LN ,91350,Los Angeles,49,840,13116,1972
TM21-731350,4729 Morella AVE ,91607,Los Angeles,2,3877,9958,2019
CRPTP2104054,7415 Mount Vernon St ,91945,San Diego,73,1178,6969.6,1948
CRNDP2107421,7712 Rocio ,92009,San Diego,43,3151,11500,1978
CRCV21125689,4980 Mable WAY ,92117,San Diego,63,1858,5200,1958
CRSW21127339,25962 Emmanuel LN ,92544,Riverside,17,2001,8276,2004
CRAR21132528,511 W Rosslynn AVE ,92832,Orange,68,1176,6030,1953
CRBB21127896,154 Azalea ST ,93015,Ventura,1,3177,8774,2020
BE40954077,529 Pine Ave ,94085,Santa Clara,69,1132,5459,1952
ML81853690,48887 Crestview CMN CM,94539,Alameda,23,4011,20848,1998
BE40958009,3619 Montrose Place ,94551,Alameda,24,2444,12899,1997
BA321035631,56 Castlewood DR ,94901,Marin,57,1608,10001,1964
